iso,year,gas,emissions_quantity,emissions_quantity_units
DZA,2016-01-01 00:00:00,co2e_20yr,21655170.137904,tonnes
DZA,2016-01-01 00:00:00,co2e_100yr,21549184.858223,tonnes
DZA,2017-01-01 00:00:00,n2o,57.884142,tonnes
DZA,2017-01-01 00:00:00,co2,22594033.71,tonnes
DZA,2017-01-01 00:00:00,ch4,2005.801172,tonnes
DZA,2017-01-01 00:00:00,co2e_20yr,22777802.421936,tonnes
DZA,2017-01-01 00:00:00,co2e_100yr,22665535.440446,tonnes
DZA,2018-01-01 00:00:00,n2o,66.121342,tonnes
DZA,2018-01-01 00:00:00,co2,26526002.370000000,tonnes
DZA,2018-01-01 00:00:00,ch4,2406.163585,tonnes
DZA,2018-01-01 00:00:00,co2e_20yr,26745576.145428,tonnes
DZA,2018-01-01 00:00:00,co2e_100yr,26610897.106010000,tonnes
DZA,2019-01-01 00:00:00,n2o,67.40154,tonnes
DZA,2019-01-01 00:00:00,co2,27242464.210000000,tonnes
DZA,2019-01-01 00:00:00,ch4,2419.931877,tonnes
DZA,2019-01-01 00:00:00,co2e_20yr,27463532.494228,tonnes
DZA,2019-01-01 00:00:00,co2e_100yr,27328083.710656,tonnes
DZA,2020-01-01 00:00:00,n2o,63.168421,tonnes
DZA,2020-01-01 00:00:00,co2,26018276.57,tonnes
DZA,2020-01-01 00:00:00,ch4,2316.033665,tonnes
DZA,2020-01-01 00:00:00,co2e_20yr,26229499.861004,tonnes
DZA,2020-01-01 00:00:00,co2e_100yr,26099865.144185000,tonnes
DZA,2021-01-01 00:00:00,n2o,66.088302,tonnes
DZA,2021-01-01 00:00:00,co2,27291087.55,tonnes
DZA,2021-01-01 00:00:00,ch4,2427.89311,tonnes
DZA,2021-01-01 00:00:00,co2e_20yr,27512477.882968,tonnes
DZA,2021-01-01 00:00:00,co2e_100yr,27376581.95711,tonnes
